165,Souris River,Manitoba,Canada,Yes,-99.56943,49.66502,stream,Souris River MB,0
166,Assiniboine River,Manitoba,Canada,Yes,-97.12874,49.8858,stream,Assiniboine River MB,0
167,Pembina River Diversion,Manitoba,Canada,Yes,-99.47273,49.27692,,Pembina River MB,0
168,Lesser Slave Lake Settlement,Alberta,Canada,Yes,-116.11917,55.53341,area,Lesser Slave Lake area AB,0
169,Nechako River Bird Sanctuary,British Columbia,Canada,Yes,-124.03645,54.01654,reserve,Nechako River BC,0
170,Bay of Fundy,New Brunswick,Canada,Yes,-65.99886,45.00014,bay,Bay of Fundy NB,0
171,Durham,Ontario,Canada,Yes,-78.99957,44.20012,second-order administrative division,Durham ON,608124
172,Assiniboine Corridor Wildlife Management Area,Manitoba,Canada,Yes,-99.32081,49.61892,reserve,Assiniboine MB,0
173,Red Sucker Lake Airport,Manitoba,Canada,Yes,-93.5572,54.1672,airport,Red MB,0
174,York,Ontario,Canada,Yes,-79.46632,44.00011,second-order administrative division,North York ON,1032524
175,Iroquois Falls,Ontario,Canada,Yes,-80.68307,48.76688,populated place,Iroquois Falls ON,4232
176,Hummingbird Creek,British Columbia,Canada,Yes,-119.01904,50.76651,stream,Hummingbird Creek BC,0
177,Wood Buffalo National Park of Canada,Alberta,Canada,Yes,-112.00693,57.66443,reserve,Wood Buffalo National Park AB,0
178,Saint Pierre and Miquelon,,Saint Pierre and Miquelon,No,-56.33333,46.83333,dependent political entity,Saint-Pierre-et-Miquelon,7012
179,Kangiqsualujjuaq Georges River Airport,Quebec,Canada,Yes,-65.99267,58.70973,airport,Kangiqsualujjuaq QC,0
180,Swan Hills,Alberta,Canada,Yes,-115.40226,54.71681,populated place,Swan Hills AB,1900
181,Portage la Prairie,Manitoba,Canada,Yes,-98.29263,49.97282,populated place,Portage la Prairie MB,12957
182,Peggy Cove,Nova Scotia,Canada,Yes,-63.83202,44.80015,cove(s),Peggy's Cove NS,0
183,Barrie,Ontario,Canada,Yes,-79.66634,44.40011,populated place,Barrie ON,182041
184,Taylor,British Columbia,Canada,Yes,-120.68138,56.15282,populated place,Taylor BC,0
185,Terrace,British Columbia,Canada,Yes,-128.60345,54.51634,populated place,Terrace BC,19443
186,Melita,Manitoba,Canada,Yes,-100.99669,49.26811,populated place,Melita MB,1167
187,Thamesville,Ontario,Canada,Yes,-81.98309,42.55008,populated place,Thamesville ON,0
188,La Ronge,Saskatchewan,Canada,Yes,-105.28422,55.10013,populated place,La Ronge SK,3071
189,Beardmore,Ontario,Canada,Yes,-81.96646,49.51693,area,Beardmore ON,0
190,Burwash Landing,Yukon,Canada,Yes,-138.99602,61.35515,populated place,Burwash Landing YT,0
191,Kenora,Ontario,Canada,Yes,-94.48985,49.76741,populated place,Kenora ON,15096
192,Badger's Quay,Newfoundland and Labrador,Canada,Yes,-53.58136,49.11658,area,Badger NL,0
193,Clearwater County,Alberta,Canada,Yes,-115.71607,52.27567,second-order administrative division,Clearwater AB,0
194,Drummondville,Quebec,Canada,Yes,-72.48241,45.88336,populated place,Drummondville QC,59489
195,Glacier National Park of Canada,British Columbia,Canada,Yes,-117.51893,51.26661,reserve,Glacier National Park BC,0
196,Mont-Saint-Hilaire,Quebec,Canada,Yes,-73.1868,45.56515,populated place,St-Hilaire QC,15720
197,Passmore,British Columbia,Canada,Yes,-117.64915,49.54175,populated place,Passmore BC,0
198,Pine Lake,Alberta,Canada,Yes,-113.4425,52.08861,lake,Pine Lake AB,0
199,Chetwynd,British Columbia,Canada,Yes,-121.63627,55.69988,populated place,Chetwynd BC,2587
200,Walkerton,Indiana,United States,No,-86.48307,41.46671,populated place,Walkerton ON,2264
201,Vanguard,Saskatchewan,Canada,Yes,-107.3013,49.91676,populated place,Vanguard SK,0
202,Sturdee,British Columbia,Canada,Yes,-127.08547,57.20892,area,Peace River area BC,0
203,Morley,Ontario,Canada,Yes,-94.19398,48.73524,third-order administrative division,Morley ON,0
204,Chapple,Ontario,Canada,Yes,-94.00036,48.74994,third-order administrative division,Chapple ON,0
205,Dawson,Ontario,Canada,Yes,-94.53931,48.78885,third-order administrative division,Dawson ON,0
206,Emo,Ontario,Canada,Yes,-93.83363,48.63323,populated place,Emo ON,0
207,Lake of the Woods,Ontario,Canada,Yes,-94.54903,49.06757,third-order administrative division,Lake of the Woods ON,0
208,La Vallee,Ontario,Canada,Yes,-93.66702,48.68319,third-order administrative division,La Vallee ON,0
209,Rainy River District,Ontario,Canada,Yes,-92.50031,48.49981,second-order administrative division,Rainy River ON,0
210,Fort Frances,Ontario,Canada,Yes,-93.4003,48.61667,populated place,Fort Frances ON,7931
211,New York,New York,United States,No,-74.00597,40.71427,populated place,New York City,8175133
212,Mount Saint Elias,Alaska,United States,No,-140.92978,60.29321,mountain, U.S.A.,0
213,Brookdale,Manitoba,Canada,Yes,-99.56443,50.04813,area,Brookdale MB,0
214,Notre-Dame-du-Lac,Quebec,Canada,Yes,-79.04961,46.75012,area,Notre-Dame-du-Lac QC,0
215,Montreal Lake,Saskatchewan,Canada,Yes,-105.66714,54.33338,lake,Montreal Lake SK,0
216,Alberton,Ontario,Canada,Yes,-93.50031,48.58318,third-order administrative division,Alberton ON,0
217,Cuzion,Centre-Val de Loire,France,No,1.60685,46.47924,populated place,La Valle ON,508
218,Kingsville,Ontario,Canada,Yes,-82.73312,42.10009,populated place,Kingsville ON,0
219,Peerless Lake,Alberta,Canada,Yes,-114.66667,56.61667,lake,Peerless Lake AB,0
220,Trout Lake,Alberta,Canada,Yes,-114.53558,56.50019,area,Trout Lake AB,0
221,Turnor Lake,Saskatchewan,Canada,Yes,-108.58406,56.58343,lake,Turnor Lake SK,0
222,Crutwell,Saskatchewan,Canada,Yes,-106.06775,53.21679,populated locality,Crutwell SK,0
223,Dillon,Saskatchewan,Canada,Yes,-108.93478,55.93348,populated place,Dillon SK,0
224,Pelican Narrows,Saskatchewan,Canada,Yes,-102.9341,55.16685,populated place,Pelican Narrows SK,0
225,Peter Pond Lake,Saskatchewan,Canada,Yes,-108.73406,55.91675,lake,Peter Pond SK,0
226,Northeast Arm,Saskatchewan,Canada,Yes,-103.15081,54.96684,bay,Northeast Saskatchewan,0
227,Brantford,Ontario,Canada,Yes,-80.26636,43.1334,populated place,Brantford ON,87759
228,Western Hill,Ontario,Canada,Yes,-79.24958,43.15011,region,Western Canada,1700
229,Oxford,Nova Scotia,Canada,Yes,-63.86542,45.73345,populated place,Oxford NS,1283
230,Eastern Passage,Nova Scotia,Canada,Yes,-63.48199,44.61685,populated place,Eastern Passage NS,0
231,Cole Harbour,Nova Scotia,Canada,Yes,-63.47506,44.67244,section of populated place,Cole Harbour NS,20000
232,Saint-Joseph-de-Beauce,Quebec,Canada,Yes,-70.86667,46.3,populated place,Beauce QC,4454
233,L'Ange-Gardien,Quebec,Canada,Yes,-75.44933,45.5834,populated place,l'Outaouais QC,0
234,The Pas,Manitoba,Canada,Yes,-101.25413,53.82509,populated place,The Pas MB,6055
235,Estevan,Saskatchewan,Canada,Yes,-102.98422,49.13337,populated place,Estevan SK,9904
236,Edmundston,New Brunswick,Canada,Yes,-68.32512,47.3737,populated place,Edmundston NB,16643
237,Kings County,Prince Edward Island,Canada,Yes,-62.49864,46.2501,second-order administrative division,Kings County PE,0
238,Kashechewan Airport,Ontario,Canada,Yes,-81.6778,52.2825,airport,Kashechewan ON,0
239,Fort Good Hope Airport,Northwest Territories,Canada,Yes,-128.6478,66.24066,airport,Fort Good Hope NT,0
240,Bridgewater,Nova Scotia,Canada,Yes,-64.51882,44.37856,populated place,Bridgewater NS,8070
241,Chisasibi Airport,Quebec,Canada,Yes,-78.9169,53.8056,airport,Chisasibi QC,0
242,Chibougamau,Quebec,Canada,Yes,-74.36586,49.91684,populated place,Chibougamau QC,7563
243,Baie James,Quebec,Canada,Yes,-79.08296,53.66695,bay,James Bay QC,0
244,Kelowna,British Columbia,Canada,Yes,-119.48568,49.88307,populated place,Kelowna BC,125109
245,Stephenville,Newfoundland and Labrador,Canada,Yes,-58.5818,48.55001,populated place,Stephenville NL,6278
246,Abbotsford,British Columbia,Canada,Yes,-122.25257,49.05798,populated place,Abbotsford BC,151683
247,Glovertown,Newfoundland and Labrador,Canada,Yes,-54.03141,48.68321,populated place,Glovertown NL,0
248,Delta,British Columbia,Canada,Yes,-122.9068,49.14399,populated place,Delta BC,101668
249,Red Earth 29,Saskatchewan,Canada,Yes,-102.87038,53.45286,reservation,Red Earth SK,0
250,Slocan River,British Columbia,Canada,Yes,-117.51893,49.41654,stream,Slocan River BC,0
251,Mistissini,Quebec,Canada,Yes,-73.88333,50.41667,populated place,Mistissini QC,0
252,Aklavik,Northwest Territories,Canada,Yes,-135.01071,68.21913,populated locality,Aklavik NT,648
253,Tumbler Ridge,British Columbia,Canada,Yes,-120.99415,55.13027,populated place,Tumbler Ridge BC,2454
254,Nordegg,Alberta,Canada,Yes,-115.87967,52.49323,populated place,Nordegg AB,0
255,Cariboo Chilcotin Coast,British Columbia,Canada,Yes,-125.288,54.4189,coast,Cariboo-Chilcotin BC,0
256,Galiano Island,British Columbia,Canada,Yes,-123.45265,48.93294,island,Galiano Island BC,0
257,Boisbriand,Quebec,Canada,Yes,-73.83249,45.61678,populated place,Boisbriand QC,26483
258,Amherstburg,Ontario,Canada,Yes,-83.04985,42.11679,populated place,Amherstburg ON,11459
259,United Counties of Prescott and Russell,Ontario,Canada,Yes,-75.24931,45.4168,second-order administrative division,Russell ON,0
260,South Bentinck,British Columbia,Canada,Yes,-126.67069,52.04521,populated locality,South Coast BC,0
261,Maple Ridge,British Columbia,Canada,Yes,-122.60193,49.21939,populated place,Maple Ridge BC,70000
262,Selkirk,Manitoba,Canada,Yes,-96.88452,50.1436,populated place,Selkirk MB,9653
263,Outaouais,Quebec,Canada,Yes,-76.31606,46.26681,second-order administrative division,Gatineau QC,370000
264,Little Fishing Lake,Saskatchewan,Canada,Yes,-109.55076,53.86676,lake,Fishing Lake SK,0
265,Happy Valley-Goose Bay,Newfoundland and Labrador,Canada,Yes,-60.32576,53.3038,populated place,Happy Valley - Goose Bay NL,7572
266,Elie,Manitoba,Canada,Yes,-97.75901,49.90172,area,Elie MB,0
267,South Indian Lake Airport,Manitoba,Canada,Yes,-98.9072,56.7928,airport,South Indian Lake MB,0
268,Regional District of Central Kootenay,British Columbia,Canada,Yes,-117.50222,49.91655,second-order administrative division,Kootenay BC,0
269,Natuashish Airport,Newfoundland and Labrador,Canada,Yes,-61.18552,55.91396,airport,Natuashish NL,0
270,Matane,Quebec,Canada,Yes,-67.52197,48.82857,populated place,Matane QC,14812
271,Prince George,British Columbia,Canada,Yes,-122.75301,53.9166,populated place,Prince George BC,65558
272,Port Bruce,Ontario,Canada,Yes,-81.01642,42.65009,area,Port Bruce ON,0
273,Belleville,Ontario,Canada,Yes,-77.38277,44.16682,populated place,Belleville ON,49454
274,Paddockwood,Saskatchewan,Canada,Yes,-105.56768,53.51679,populated place,Paddockwood SK,0
275,Trent Hills,Ontario,Canada,Yes,-77.8662,44.28342,populated place,Trent Hills ON,0
276,Albany River Provincial Park,Ontario,Canada,Yes,-87.77496,51.36261,park,Albany River ON,0
277,James Bay,Ontario,Canada,Yes,-79.0663,46.31681,bay,James Bay ON,0
278,Newbrook,Alberta,Canada,Yes,-112.952,54.31687,populated place,Newbrook AB,0
